QTL,Combined,Two row,Six row,USDA,USU,BARI,N6,UMN,MSU,N2,WSU
QRptts_1H_50.99,0.22,3.86,0,0,0,0,0,0,0,0,0
QRptts_1H_107.18,0,0,4.46,0,0,0,0,0,0,0,0
QRptts_3H_3.26-8.86,14.93,2.86,24.73,4.06,5.01,10.15,22.26,1.71,1.75,0.66,1.91
QRptts_3H_11.94,2.17,4.85,4.81,0.09,0.72,0.78,0.19,0,0.23,3.21,2.42
QRptts_3H_164.42,0.14,0.16,0.99,0.31,0.17,0.11,0.12,3.41,0.09,1.64,0.54
QRptts_4H_53.87,3.16,4.07,1.47,1.36,0.97,0.55,0.47,0.63,1.22,4.84,0.32
QRptts_4H_59.32,0.36,1.71,0.79,0.09,0,0.16,0.14,0,0,3.77,0.14
QRptts_5H_95.14,4.99,4.3,0,0.06,0.16,0.3,0,0,0.33,0.08,0.26
QRptts_6H_51.94-52.20,0.29,1.34,0.26,0.41,0.64,0.74,0.28,3.42,1.08,0.03,1.09
QRptts_6H_57.64-60.21,8.67,14.39,4.17,5.98,1.62,7.22,4.92,3.61,6.22,8.82,4.33
QRPtts_6H_62.91,0.52,1.27,2.46,0.8,0.31,0.52,0,0.02,5.56,2.05,4.34
QRptts_6H_64.29-65.68,2.16,5.72,0.81,0,0.98,0.9,0.81,0,10.39,6.47,4.87
