Line	Mean	Env
07WA-677.1	1.333333333	92
04WA-111.16	2	62
04WA-118.19	2	62
05WA-315.47	2	72
05WA-328.4	2	72
05WA-328.49	2	72
03WA-203.1HW-1	2	82
07WA-602.22	2	92
07WA-605.17	2	92
07WA-606.19	2	92
X04079-T173	2	92
04WA-111.8	2.333333333	62
04WA-117.12	2.333333333	62
04WA-104.39	2.333333333	62
04WA-119.2	2.333333333	62
03WA-119.7	2.333333333	62
05WA-328.48	2.333333333	72
05WA-316.99	2.333333333	72
06WA-461.23	2.333333333	82
05WA-347.17	2.5	72
05WA-324.17	2.666666667	72
05WA-316.32	2.666666667	72
05WA-316.64	2.666666667	72
06WA-475.15	2.666666667	82
03WA-203.18HW-1	2.666666667	82
03WA-204.9W-1	2.666666667	82
X02037-DH1	2.666666667	82
X04012-T51	2.666666667	82
05WA-302.42	3	72
05WA-319.51	3	72
05WA-370.30	3	72
05WA-328.20	3	72
03WA-204.4W-2	3	82
04WA-121.4	3.333333333	62
04WA-114.40	3.333333333	62
05WA-339.22	3.333333333	72
05WA-336.35	3.333333333	72
03WA-129.18	3.666666667	62
05WA-339.8	3.666666667	72
05WA-368.13	3.666666667	72
05WA-354.10	3.666666667	72
05WA-335.33	3.666666667	72
05WA-339.12	3.666666667	72
03WA-208.4	4	62
05WA-353.22	4	72
05WA-362.16	4	72
07WA-616.1	4	92
04WA-114.16	4.333333333	62
03WA-112.4	4.333333333	62
04WA-101.43	4.333333333	62
05WA-362.22	4.333333333	72
X02028-DH35	4.333333333	72
05WA-360.15	4.333333333	72
05WA-348.14	4.333333333	72
05WA-339.5	4.333333333	72
06WA-422.19	4.333333333	82
06WA-461.1	4.333333333	82
03WA-204.22W-4	4.333333333	82
07WA-683.7	4.333333333	92
X04073-T136	4.333333333	92
X04078-T173	4.333333333	92
04WA-116.18	4.666666667	62
04WNZ-101	4.666666667	62
05WA-302.73	4.666666667	72
05WA-319.12	4.666666667	72
05WA-368.14	4.666666667	72
02MB-104	4.666666667	72
05WA-303.81	4.666666667	72
05WA-316.71	4.666666667	72
05WA-328.7	4.666666667	72
05WA-328.10	4.666666667	72
05WA-328.16	4.666666667	72
05WA-336.29	4.666666667	72
07WA-642.17	4.666666667	92
07WA-684.20	4.666666667	92
07WA-639.13	4.666666667	92
07WA-650.9	4.666666667	92
X04078-T27	4.666666667	92
03WA-104.7	5	62
03WA-119.4	5	62
04WA-123.22	5	62
05WA-360.31	5	72
05WA-359.7	5	72
05WA-368.26	5	72
05WA-335.43	5	72
05WA-358.16	5	72
05WA-328.8	5	72
05WA-363.37	5	72
X04041-T32	5	82
07WA-682.1	5	92
07WA-601.24	5	92
MERESSE	5	92
X04073-T58	5	92
04WA-118.11	5.333333333	62
04WA-114.8	5.333333333	62
04WA-124.33	5.333333333	62
04WA-113.38	5.333333333	62
04WA-114.35	5.333333333	62
05WA-310.96	5.333333333	72
05WA-333.7	5.333333333	72
05WA-347.37	5.333333333	72
05WA-303.66	5.333333333	72
05WA-303.1	5.333333333	72
05WA-335.15	5.333333333	72
05WA-358.19	5.333333333	72
05WA-377.14	5.333333333	72
05WA-361.7	5.333333333	72
05WA-333.21	5.333333333	72
06WA-427.31	5.333333333	82
06WA-414.23	5.333333333	82
06WA-475.14	5.333333333	82
07WA-601.9	5.333333333	92
07WA-614.12	5.333333333	92
07WA-620.1	5.333333333	92
07WA-665.9	5.333333333	92
07WA-667.1	5.333333333	92
07WA-670.8	5.333333333	92
SALUTE	5.333333333	92
X04061-T183	5.333333333	92
X04073-T85	5.333333333	92
X04078-T116	5.333333333	92
X04078-T181	5.333333333	92
X04079-T20	5.333333333	92
04WA-116.15	5.666666667	62
04WA-116.2	5.666666667	62
04WA-114.39	5.666666667	62
04WA-127.20	5.666666667	62
05WA-341.26	5.666666667	72
05WA-354.13	5.666666667	72
05WA-371.6	5.666666667	72
05WA-357.14	5.666666667	72
05WA-369.9	5.666666667	72
05WA-336.8	5.666666667	72
05WA-310.52	5.666666667	72
05WA-336.18	5.666666667	72
05WA-336.14	5.666666667	72
05WA-328.3	5.666666667	72
05WA-368.15	5.666666667	72
05WA-327.52	5.666666667	72
05WA-336.19	5.666666667	72
06WA-432.23	5.666666667	82
MERESSE	5.666666667	82
X04012-T149	5.666666667	82
07WA-604.20	5.666666667	92
07WA-606.25	5.666666667	92
07WA-610.21	5.666666667	92
07WA-650.11	5.666666667	92
07WA-658.8	5.666666667	92
07WA-682.3	5.666666667	92
07WA-629.12	5.666666667	92
07WA-665.7	5.666666667	92
X04073-T135	5.666666667	92
X04078-T222	5.666666667	92
X04078-T43	5.666666667	92
04WA-108.38	6	62
04WA-106.50	6	62
04WA-113.16	6	62
04WA-123.50	6	62
04WA-113.31	6	62
04WA-123.4	6	62
04WA-126.29	6	62
04WA-113.15	6	62
05WA-351.2	6	72
05WA-310.94	6	72
05WA-325.66	6	72
05WA-357.17	6	72
05WA-316.9	6	72
05WA-303.20	6	72
06WA-423.21	6	82
X04041-T194	6	82
X04041-T81	6	82
07WA-605.11	6	92
07WA-615.23	6	92
07WA-633.5	6	92
07WA-634.13	6	92
07WA-672.2	6	92
07WA-681.16	6	92
07WA-649.7	6	92
07WA-652.7	6	92
07WA-684.8	6	92
RADIANT	6	92
X04078-T125	6	92
X04078-T151	6	92
04WA-123.52	6.333333333	62
04WA-108.12	6.333333333	62
03WA-136.19	6.333333333	62
04WA-113.36	6.333333333	62
03WA-109.7	6.333333333	62
04WNZ-124	6.333333333	62
04WNZ-194	6.333333333	62
05WA-303.71	6.333333333	72
05WA-329.50	6.333333333	72
05WA-360.21	6.333333333	72
05WA-329.22	6.333333333	72
05WA-336.32	6.333333333	72
06WA-423.30	6.333333333	82
06WA-427.6	6.333333333	82
X04012-T46	6.333333333	82
X04055-T3	6.333333333	82
07WA-606.5	6.333333333	92
07WA-617.6	6.333333333	92
07WA-601.6	6.333333333	92
07WA-628.14	6.333333333	92
07WA-664.1	6.333333333	92
07WA-680.8	6.333333333	92
X04073-T67	6.333333333	92
X04078-T52	6.333333333	92
X04079-T125	6.333333333	92
X04079-T174	6.333333333	92
03WA-133.5	6.666666667	62
04WA-112.11	6.666666667	62
04WA-112.21	6.666666667	62
03WA-137.10	6.666666667	62
04WA-109.13	6.666666667	62
04WA-108.23	6.666666667	62
04WA-127.4	6.666666667	62
04WNZ-171	6.666666667	62
04WA-110.40	6.666666667	62
05WA-357.1	6.666666667	72
05WA-361.35	6.666666667	72
05WA-340.17	6.666666667	72
06WA-427.50	6.666666667	82
06WA-456.9	6.666666667	82
06WA-469.14	6.666666667	82
06WA-406.11	6.666666667	82
06WA-432.7	6.666666667	82
03WA-203.9HW-1	6.666666667	82
03WA-204.19W-1	6.666666667	82
X04012-T172	6.666666667	82
07WA-628.2	6.666666667	92
07WA-634.A	6.666666667	92
07WA-601.22	6.666666667	92
07WA-610.2	6.666666667	92
07WA-613.20	6.666666667	92
07WA-614.4	6.666666667	92
07WA-639.4	6.666666667	92
07WA-670.7	6.666666667	92
X04061-T283	6.666666667	92
X04079-T159	6.666666667	92
03WA-133.4	7	62
03WA-199.1	7	62
03WA-199.4	7	62
04WA-112.33	7	62
04WA-123.40	7	62
03WA-129.6	7	62
03WA-134.3	7	62
03WA-187.1	7	62
04WA-102.21	7	62
04WA-123.32	7	62
04WA-102.43	7	62
04WA-123.39	7	62
03WA-124.1	7	62
04WNZ-130	7	62
04WNZ-128	7	62
04WA-123.23	7	62
05WA-303.6	7	72
05WA-325.45	7	72
05WA-303.17	7	72
05WA-354.3	7	72
05WA-325.33	7	72
05WA-349.20	7	72
05WA-325.3	7	72
05WA-329.49	7	72
06WA-431.25	7	82
06WA-408.14	7	82
06WA-412.5	7	82
03WA-168.14W-3	7	82
X02007-DH1	7	82
X02007-DH12	7	82
X04041-T113	7	82
07WA-622.9	7	92
07WA-630.28	7	92
07WA-639.14	7	92
07WA-652.14	7	92
07WA-627.17	7	92
07WA-650.3	7	92
07WA-670.9	7	92
07WA-681.15	7	92
04WA-112.10	7.333333333	62
04WA-123.51	7.333333333	62
04WNZ-88	7.333333333	62
04WA-125.11	7.333333333	62
03WA-195.8	7.333333333	62
04WA-101.34	7.333333333	62
04WNZ-71	7.333333333	62
03WA-158.12	7.333333333	62
04WA-108.15	7.333333333	62
05WA-336.42	7.333333333	72
05WA-303.47	7.333333333	72
05WA-329.66	7.333333333	72
05WA-325.5	7.333333333	72
05WA-360.14	7.333333333	72
06WA-406.6	7.333333333	82
06WA-412.14	7.333333333	82
06WA-412.16	7.333333333	82
06WA-419.6	7.333333333	82
06WA-448.5	7.333333333	82
06WA-455.5	7.333333333	82
06WA-466.16	7.333333333	82
06WA-406.9	7.333333333	82
06WA-421.17	7.333333333	82
06WA-425.3	7.333333333	82
06WA-427.15	7.333333333	82
06WA-453.1	7.333333333	82
03WA-105.4HW-1	7.333333333	82
X02037-DH5	7.333333333	82
07WA-642.20	7.333333333	92
07WA-625.27	7.333333333	92
07WA-676.8	7.333333333	92
X04073-T126	7.333333333	92
X04079-T277	7.333333333	92
X04079-T87	7.333333333	92
04WA-112.2	7.666666667	62
04WA-116.33	7.666666667	62
03WA-233.3	7.666666667	62
04WA-123.46	7.666666667	62
04WA-101.47	7.666666667	62
04WA-114.4	7.666666667	62
04WA-104.17	7.666666667	62
05WA-329.18	7.666666667	72
06WA-406.3	7.666666667	82
06WA-409.31	7.666666667	82
06WA-414.7	7.666666667	82
06WA-415.30	7.666666667	82
06WA-416.21	7.666666667	82
06WA-423.25	7.666666667	82
06WA-431.16	7.666666667	82
06WA-466.6	7.666666667	82
06WA-473.9	7.666666667	82
06WA-406.18	7.666666667	82
06WA-414.10	7.666666667	82
06WA-428.11	7.666666667	82
06WA-429.10	7.666666667	82
06WA-420.10	7.666666667	82
X02007-DH6	7.666666667	82
X02035-DH2	7.666666667	82
X04041-T15	7.666666667	82
07WA-677.9	7.666666667	92
X04079-T247	7.666666667	92
03WA-182.12	8	62
03WA-199.6	8	62
04WA-112.8	8	62
04WA-108.56	8	62
04WA-122.24	8	62
04WA-104.40	8	62
05WA-329.46	8	72
06WA-412.3	8	82
06WA-412.4	8	82
06WA-429.16	8	82
06WA-472.13	8	82
06WA-406.21	8	82
06WA-409.8	8	82
06WA-412.29	8	82
06WA-414.3	8	82
06WA-458.10	8	82
06WA-458.20	8	82
06WA-470.7	8	82
06WA-473.11	8	82
06WA-473.17	8	82
06WA-473.3	8	82
X04012-T80	8	82
X04041-T7	8	82
07WA-655.2	8	92
X04079-T242	8	92
X04079-T276	8	92
X04079-T58	8	92
03WA-193.7	8.333333333	62
04WNZ-60	8.333333333	62
03WA-123.8	8.333333333	62
04WA-101.45	8.333333333	62
06WA-426.18	8.333333333	82
06WA-412.12	8.333333333	82
06WA-458.8	8.333333333	82
X04055-T56	8.333333333	82
07WA-625.15	8.333333333	92
07WA-654.5	8.333333333	92
X04079-T34	8.333333333	92
06WA-428.19	8.666666667	82
X04061-T71	8.666666667	82
06WA-444.5	9	82
06WA-420.19	9	82
